OBJNUMBER,Merger/Pair,Off-Center,Nearby,Irregular,Comment/Question?,No/Problamatic object
466002,0,0,1,0,,0
466005,0,0,0,0,,0
466009,0,0,0,1,,0
466011,1,0,0,0,,0
466017,0,0,0,0,,0
466021,1,0,0,0,,0
466024,0,0,0,0,Not There,1
466025,0,0,0,1,,0
466026,0,0,0,0,,0
466027,0,0,0,0,,0
466028,0,0,0,0,Error/Streaks,1
466034,0,0,0,0,,0
466042,0,0,0,0,,0
466049,0,0,0,0,Problem,1
466050,0,1,0,1,Possible not there,1
466056,1,0,0,0,,0
466058,0,1,0,1,,0
466059,0,1,0,0,Possible nearby,1
466060,0,0,0,0,Error/Artifact,1
466063,0,0,0,0,Not There,1
466065,1,0,0,0,,0
466069,1,0,0,0,,0
466070,0,0,1,0,,0
466075,0,0,0,1,,0
466076,0,0,0,1,,0
466077,1,0,0,1,,0
466078,0,0,0,0,,0
466082,0,0,0,0,,0
466090,0,1,0,0,,0
466092,0,0,0,0,Not There,1
466095,0,0,0,0,,0
466097,0,0,0,0,,0
466108,0,0,0,0,Not There,1
466110,0,0,0,0,Not There,1
466112,0,0,0,0,,0
466114,0,0,0,0,Error,1
466116,0,0,0,1,,0
446117,0,1,0,0,,0
446118,0,1,0,0,,0
466122,1,0,0,0,,0
466123,0,0,0,0,,0
466126,0,0,0,0,,0
466128,0,0,0,0,,0
466132,0,1,0,1,,0
466143,0,0,0,0,,0
466145,0,1,0,0,,0
466154,0,0,0,0,Error/Artifacts/Not There,1
466155,0,1,0,1,,0
466156,0,0,0,0,Error/Problem,1
466158,0,1,0,0,,0
466162,0,0,0,0,,0
466164,0,0,0,0,,0
466174,0,0,0,0,Not There,1
466175,0,0,0,0,,0
466178,0,0,1,0,,0
466179,0,0,0,0,Not there,1
466183,0,0,0,0,Not there,1
466184,0,0,0,0,,0
466186,0,0,0,0,,0
466187,0,0,0,1,,0
466190,0,0,0,0,Not there,1
466191,0,0,0,0,,0
466192,0,0,0,1,,0
466194,0,0,0,0,,0
466195,0,0,0,0,Not there/Trail,1
466196,0,0,1,0,,0
466198,0,1,0,0,,0
466208,0,0,0,1,,0
466210,0,0,0,1,,0
466211,1,0,0,0,,0
466212,1,0,0,0,,0
470006,1,0,0,0,,0
470008,1,0,0,0,,0
470010,0,0,0,1,,0
470011,0,0,0,0,Unsure,0
470013,1,0,0,0,,0
470017,0,0,0,0,,0
470019,0,0,0,1,,0
470029,0,0,0,0,,0
470032,0,0,0,0,,0
470034,1,0,0,0,,0
470045,0,0,0,0,,0
470036,0,0,0,0,Error,1
470039,0,1,0,0,,0
470041,0,0,0,0,,0
470049,0,0,0,0,,0
470056,0,0,0,0,Error/ Not there,1
470057,0,0,0,0,Not There,1
470075,0,0,0,0,,0
470076,0,0,0,0,,0
470091,0,0,0,0,Not there,1
470093,0,0,0,1,,0
470101,0,0,0,0,,0
470105,0,0,0,0,Not there,1
470108,0,0,0,0,,0
470112,0,0,0,0,,0
470129,0,0,0,0,,0
470133,0,0,0,0,Not there,1
470136,0,0,0,0,,0
470137,0,0,0,0,Not there,1
470139,0,0,0,1,,0
470142,0,0,0,0,,0
475002,0,0,0,0,,0
475003,0,0,0,1,,0
475006,0,0,0,0,,0
475009,1,0,0,0,,0
475010,0,0,0,0,,0
475012,0,0,0,0,Not there,1
475014,0,0,1,0,,0
475016,0,0,0,1,,0
475026,0,0,0,0,,0
475031,0,0,0,0,,0
475033,0,0,0,0,,0
475039,0,0,0,0,Not there,1
475040,0,0,0,0,Unsure,1
475053,0,0,0,0,,0
475067,0,0,0,0,,0
475075,0,0,1,0,,0
475080,0,1,0,0,,0
475083,0,0,0,0,,0
475087,0,0,0,0,,0
475091,0,0,0,0,Not there,1
475097,0,0,0,0,,0
475101,0,0,0,0,Not there,1
475102,0,0,0,0,,
475121,0,1,0,0,,
