ID,diffuse,compact,merger,off_center,nearby,irregular,problematic
466002,0,0,3,4,5,2,0
466005,0,3,0,0,0,0,0
466009,2,0,3,0,2,3,0
466011,0,1,5,0,1,0,0
466017,0,4,0,0,0,1,0
466021,0,4,4,0,0,2,0
466024,4,0,0,3,1,1,1
466025,2,0,2,0,4,1,0
466026,0,4,0,1,0,0,0
466027,0,3,1,0,1,1,0
466028,0,0,0,0,1,0,5
466034,1,4,0,1,1,0,0
466042,3,0,1,1,4,2,0
466043,0,1,1,4,4,1,0
466047,0,3,2,0,5,0,0
466049,0,0,0,2,2,0,5
466050,3,0,2,4,1,2,1
466056,0,1,5,0,0,1,0
466058,1,0,3,2,4,1,0
466059,0,2,1,4,5,1,0
466060,0,1,0,1,1,0,5
466063,2,0,0,0,0,0,3
466065,0,3,5,0,0,1,0
466067,0,2,5,0,1,1,0
466068,0,0,1,4,0,0,2
466069,0,2,5,0,4,1,0
466070,1,4,0,0,5,0,0
466075,0,1,2,0,5,2,0
466076,1,0,3,1,3,4,0
466077,0,0,2,1,1,2,0
466078,0,1,5,1,4,1,0
466082,0,4,0,0,3,0,0
466084,0,5,0,0,0,0,0
466086,0,1,3,1,2,2,0
466088,0,0,1,1,5,3,0
466090,0,1,2,2,4,2,1
466092,3,0,0,0,0,0,3
466095,0,3,3,1,2,1,0
466096,0,1,3,1,4,1,0
466097,0,1,4,0,3,1,0
466105,0,0,3,0,3,3,0
466108,2,0,0,0,0,0,2
466109,0,1,0,0,0,1,0
466110,2,2,0,3,1,0,2
466112,0,5,0,1,0,0,0
466114,0,5,0,0,0,0,2
466116,0,0,3,0,4,2,0
466117,1,3,0,5,1,1,0
466118,0,0,0,3,1,1,0
466122,0,1,4,0,0,0,0
466123,0,3,3,3,3,2,0
466126,0,2,1,1,5,1,0
466128,0,2,3,1,3,1,0
466131,0,0,4,2,4,2,0
466132,0,0,4,2,2,2,1
466134,0,0,2,1,5,2,0
466136,3,0,0,1,0,0,2
466137,0,0,4,1,1,2,0
466140,0,4,0,1,0,0,0
466143,0,5,0,3,1,0,0
466145,3,1,0,2,0,0,2
466146,0,1,0,3,3,2,0
466154,0,0,0,0,0,0,5
466155,3,0,0,2,2,1,1
466156,0,0,0,0,0,0,5
466158,0,0,0,4,1,2,0
466162,0,5,0,0,0,0,0
466164,0,0,1,0,0,1,0
466174,2,0,0,0,0,0,3
466175,0,4,0,0,0,0,0
466178,0,0,1,1,5,2,0
466179,3,0,0,0,0,0,3
466183,5,0,0,0,0,2,0
466184,0,4,1,1,3,2,0
466186,1,1,3,0,2,4,0
466187,0,0,3,0,2,4,0
466190,1,0,0,0,0,0,3
466191,0,3,0,0,0,0,0
466192,0,0,4,0,1,5,0
466194,3,0,1,0,2,1,0
466195,0,0,0,1,0,0,5
466196,0,1,0,4,4,1,0
466198,0,2,0,4,0,0,1
466208,0,0,3,0,1,4,0
466210,4,0,1,1,1,2,0
466211,0,1,3,0,3,0,0
466212,0,0,0,3,5,1,0
470006,0,0,3,1,4,3,0
470008,0,1,4,0,4,3,0
470010,1,0,3,0,2,5,0
470011,0,0,3,1,5,3,0
470013,0,0,4,0,2,1,0
470014,0,1,0,0,0,1,0
470017,0,3,1,0,0,1,0
470019,1,0,3,0,1,4,0
470028,0,0,4,0,0,2,0
470029,0,4,1,0,0,0,0
470031,0,1,5,0,1,3,0
470032,0,4,1,0,0,0,1
470033,0,3,0,0,5,0,0
470034,0,1,2,0,1,2,0
470035,0,0,3,0,5,3,0
470036,4,0,2,0,3,1,0
470038,0,5,0,0,1,0,0
470039,0,0,1,2,0,0,0
470041,0,3,1,0,0,1,0
470047,0,0,1,0,0,1,0
470049,0,4,0,0,0,0,1
470050,0,2,1,1,5,1,0
470056,2,0,0,0,0,0,3
470057,2,0,0,0,0,0,3
470065,0,0,4,1,5,1,0
470067,1,3,0,0,5,0,0
470070,0,4,0,0,0,0,0
470071,0,0,0,3,0,0,3
470072,0,0,3,0,5,4,0
470075,0,0,3,0,5,4,0
470076,0,0,1,2,5,0,0
470081,0,0,3,1,5,1,0
470085,0,5,0,0,0,0,0
470089,0,2,1,2,0,0,0
470091,0,1,0,3,0,0,3
470092,0,1,0,1,4,0,0
470093,0,1,0,0,2,1,0
470100,0,3,1,1,2,1,0
470101,0,5,0,0,0,0,0
470105,3,0,0,0,0,0,2
470108,0,4,0,0,0,0,0
470111,0,4,0,0,0,0,0
470112,0,0,5,0,4,3,0
470116,0,2,1,0,5,1,0
470117,0,4,0,0,3,0,0
470121,2,2,2,2,0,1,1
470129,2,5,0,1,0,0,0
470133,1,2,0,4,1,1,0
470136,2,4,0,0,0,0,0
470137,2,0,0,0,0,0,3
470139,0,1,0,0,0,2,0
470142,0,4,0,0,2,0,0
475002,0,4,1,0,1,0,0
475003,0,1,4,0,1,2,0
475006,0,5,0,1,0,0,0
475009,0,1,5,0,0,1,0
475010,1,5,0,0,3,0,0
475012,4,1,1,0,1,0,2
475014,0,2,5,0,3,0,0
475016,0,0,4,1,4,2,0
475026,0,5,1,2,3,0,0
475031,0,5,0,0,0,0,0
475033,0,4,0,0,2,0,0
475039,3,0,0,2,0,0,2
475040,3,2,0,2,1,0,0
475045,0,0,4,0,2,3,0
475053,0,4,0,0,3,0,0
475067,1,5,0,2,0,0,0
475075,0,1,5,0,5,2,0
475080,0,3,0,5,3,0,0
475083,0,3,1,1,3,0,0
475087,0,5,0,0,1,0,0
475091,3,0,0,0,0,0,3
475097,0,4,0,3,1,0,0
475101,2,0,0,0,0,0,3
475102,1,2,0,2,1,0,2
475121,1,5,0,1,0,0,0
